Designator,Mid X,Mid Y,Rotation,Layer
C29,125.299999,-71.481754,225.0,bottom
C30,144.0,-67.681754,135.0,bottom
C31,157.181249,-64.481753,180.0,bottom
C32,176.099999,-71.281754,180.0,bottom
C33,195.399999,-80.781754,180.0,bottom
C34,213.499999,-80.981753,180.0,bottom
C35,208.399999,-93.881753,180.0,bottom
C36,201.9,-93.981754,180.0,bottom
C37,181.481249,-86.419254,270.0,bottom
C38,163.414872,-77.415377,225.0,bottom
C39,150.88125,-79.581753,135.0,bottom
C40,113.981249,-89.981753,270.0,bottom
C41,125.88125,-110.481753,180.0,bottom
C42,138.18125,-110.381753,180.0,bottom
C43,154.28125,-102.235307,180.0,bottom
C44,176.281249,-109.481754,180.0,bottom
C45,195.28125,-119.081753,180.0,bottom
C46,209.28125,-119.181754,180.0,bottom
C47,207.681249,-134.081754,270.0,bottom
C48,201.98125,-134.081753,270.0,bottom
C49,182.981249,-122.781754,225.0,bottom
C50,151.881249,-118.381754,270.0,bottom
C51,133.181249,-125.181754,270.0,bottom
C52,113.78125,-128.644253,270.0,bottom
C53,165.681249,-143.281753,170.0,bottom
C54,145.58125,-144.681754,80.0,bottom
C55,126.881249,-147.981754,80.0,bottom
C56,113.527696,-150.335307,80.0,bottom
D1,128.631249,-64.888004,90.0,top
D10,147.681249,-81.556753,90.0,top
D101,195.306249,-77.091754,180.0,bottom
D102,195.306249,-96.141754,0.0,bottom
D103,195.306249,-115.191753,180.0,bottom
D104,195.306249,-134.241753,0.0,bottom
D11,147.681249,-100.606753,90.0,top
D110,214.356249,-77.091754,180.0,bottom
D111,214.356249,-96.141754,0.0,bottom
D112,214.356249,-115.191753,180.0,bottom
D113,214.35625,-134.241754,0.0,bottom
D12,147.681249,-118.556754,90.0,top
D17,166.731249,-62.506754,90.0,top
D18,166.731249,-81.556753,90.0,top
D19,166.73125,-93.463004,90.0,top
D2,128.631249,-83.938003,90.0,top
D20,166.73125,-112.513004,90.0,top
D25,185.449999,-69.531754,90.0,top
D26,185.781249,-91.081754,90.0,top
D27,185.781249,-110.131754,90.0,top
D28,185.781249,-129.181754,90.0,top
D3,127.999999,-102.771754,90.0,top
D33,204.83125,-72.031754,90.0,top
D34,204.831249,-96.796754,90.0,top
D35,204.831249,-115.846753,90.0,top
D36,204.831249,-129.181754,90.0,top
D4,127.899999,-122.191753,90.0,top
D41,223.88125,-72.031754,90.0,top
D42,223.88125,-91.081753,90.0,top
D43,223.881249,-115.846753,90.0,top
D44,223.881249,-129.181754,90.0,top
D49,102.275576,-149.296907,10.0,top
D50,128.866096,-135.183187,280.0,top
D51,147.581249,-131.781754,280.0,top
D52,166.527696,-128.935307,280.0,top
D57,102.299999,-78.281754,90.0,bottom
D58,97.04,-78.781754,0.0,top
D59,95.963382,-141.502475,260.0,bottom
D64,119.10625,-69.948003,180.0,bottom
D65,119.106249,-88.998004,0.0,bottom
D66,119.106249,-108.048003,180.0,bottom
D67,119.10625,-127.098004,0.0,bottom
D68,121.717736,-149.356851,170.0,bottom
D73,138.156249,-67.566753,180.0,bottom
D74,138.156249,-86.616753,0.0,bottom
D75,138.156249,-105.666754,180.0,bottom
D76,138.156249,-124.716754,0.0,bottom
D77,140.478324,-146.048852,170.0,bottom
D82,157.206249,-60.423003,180.0,bottom
D83,157.20625,-79.473004,0.0,bottom
D84,157.20625,-98.523004,180.0,bottom
D85,157.206249,-117.573004,0.0,bottom
D86,159.238911,-142.740855,170.0,bottom
D9,147.681249,-62.506754,90.0,top
D92,176.25625,-67.566754,180.0,bottom
D93,176.25625,-86.616754,0.0,bottom
D94,176.25625,-105.666753,180.0,bottom
D95,176.25625,-124.716753,0.0,bottom
J3,96.601249,-115.444253,270.0,top
S1,119.10625,-64.888004,0.0,bottom
S10,138.156249,-81.556753,0.0,bottom
S11,138.156249,-100.606753,0.0,bottom
S12,138.15625,-119.656754,0.0,bottom
S17,157.206249,-55.363004,0.0,bottom
S18,157.206249,-74.413004,0.0,bottom
S19,157.206249,-93.463003,0.0,bottom
S2,119.10625,-83.938003,0.0,bottom
S20,157.20625,-112.513004,0.0,bottom
S25,176.256249,-62.506754,0.0,bottom
S26,176.25625,-81.556754,0.0,bottom
S27,176.25625,-100.606754,0.0,bottom
S28,176.25625,-119.656754,0.0,bottom
S3,119.10625,-102.988003,0.0,bottom
S33,195.30625,-72.031754,0.0,bottom
S34,195.306249,-91.081754,0.0,bottom
S35,195.306249,-110.131754,0.0,bottom
S36,195.306249,-129.181754,0.0,bottom
S4,119.106249,-122.038004,0.0,bottom
S41,214.35625,-72.031754,0.0,bottom
S42,214.35625,-91.081753,0.0,bottom
S43,214.356249,-110.131754,0.0,bottom
S44,214.356249,-129.181754,0.0,bottom
S49,100.963382,-140.662475,80.0,bottom
S50,120.878427,-144.363886,350.0,bottom
S51,139.596224,-141.046052,350.0,bottom
S52,158.356811,-137.738055,350.0,bottom
S9,138.156249,-62.506754,0.0,bottom
U2,97.04,-78.781754,0.0,top
